Token	NER
comprado	O
esta	O
mañana	O
las	O
flores	O
que	O
he	O
menester	O
Salen	O
Marcelo	O
y	O
Fabio	O
Aquestas	O
deben	O
de	O
ser	O
las	O
que	O
denantes	O
decías	O
No	O
ha	O
dado	O
tan	O
buenos	O
días	O
como	O
hoy	O
el	O
alba	O
a	O
las	O
plantas	O
Claro	O
sol	O
que	O
te	O
levantas	O
en	O
el	O
jardín	O
imperial	O
de	O
esta	O
plaza	O
universal	O
que	O
haya	O
tantas	O
no	O
me	O
espanto	O
hoy	O
que	O
las	O
alegras	O
tanto	O
con	O
esa	O
luz	O
celestial	O
Direle	O
de	O
esto	O
En	O
llegando	O
marcelo	O
Si	O
vuesa	O
merced	O
señora	O
es	O
primavera	O
y	O
aurora	O
qué	O
flores	O
anda	O
buscando	O
Las	O
abejas	O
susurrando	O
vienen	O
al	O
alba	O
por	O
ellas	O
pero	O
si	O
miel	O
forman	O
de	O
ellas	O
por	O
qué	O
vos	O
de	O
las	O
que	O
veis	O
al	O
alma	O
veneno	O
hacéis	O
y	O
le	O
dais	O
en	O
dos	O
estrellas	O
Desde	O
que	O
entre	O
flores	O
vi	O
vuestra	O
divina	O
hermosura	O
dije	O
«aquí	O
estará	O
segura	O
la	O
vida	O
que	O
ya	O
perdí»	O
Pues	O
como	O
el	O
áspid	O
aquí	O
entre	O
flores	O
escondida	O
me	O
habéis	O
quitado	O
la	O
vida	O
Mas	O
tanto	O
venís	O
a	O
honrarme	O
que	O
por	O
el	O
bien	O
de	O
matarme	O
beso	O
la	O
mano	O
homicida	O
Mirad	O
si	O
de	O
aquí	O
queréis	O
algo	O
en	O
que	O
serviros	O
pueda	O
aunque	O
no	O
es	O
oro	O
ni	O
es	O
seda	O
lo	O
que	O
en	O
estas	O
tiendas	O
veis	O
Mas	O
si	O
oro	O
o	O
seda	O
queréis	O
no	O
lejos	O
de	O
aquí	O
la	O
puerta	O
de	O
Guadalajara	B-LOC
abierta	O
tanto	O
a	O
mi	O
crédito	O
está	O
que	O
quererlo	O
vos	O
será	O
rosela	O
marcelo	O
rosela	O
dominga	O
rosela	O
dominga	O
rosela	O
marcelo	O
fabio	O
marcelo	O
dominga	O
libranza	O
acetada	O
y	O
cierta	O
Yo	O
os	O
agradezco	O
señor	O
la	O
merced	O
como	O
el	O
cuidado	O
pero	O
yo	O
vivo	O
en	O
estado	O
que	O
se	O
ofenderá	O
mi	O
honor	O
de	O
tomar	O
sola	O
una	O
flor	O
Clara	O
vámonos	O
de	O
aquí	O
Perdonad	O
si	O
os	O
ofendí	O
Sois	O
como	O
galán	O
cortés	O
En	O
fin	O
volveréis	O
después	O
a	O
mi	O
casa	O
labradora	O
No	O
los	O
tengo	O
aquí	O
señora	O
que	O
yo	O
soy	O
de	O
Leganés	B
pero	O
palabra	O
le	O
doy	O
que	O
puede	O
honrar	O
dos	O
vergeles	O
con	O
los	O
tiestos	O
de	O
claveles	O
que	O
agora	O
crïando	O
estoy	O
Y	O
podréis	O
traerlos	O
hoy	O
Hoy	O
no	O
mas	O
será	O
mañana	O
A	O
Dios	O
hermosa	O
aldeana	O
Qué	O
bellísima	O
mujer	O
Puede	O
en	O
estos	O
campos	O
ser	O
Flora	O
Amaltea	O
y	O
Dïana	O
Ah	O
labradora	O
gentil	O
qué	O
te	O
dijo	O
aquesta	O
dama	O
Ansí	O
de	O
rosa	O
y	O
retama	O
te	O
enriquezca	O
el	O
verde	O
abril	O
que	O
no	O
me	O
niegues	O
quién	O
es	O
Caballero	O
aquí	O
llegó	O
y	O
de	O
otras	O
flores	O
compró	O
marcelo	O
dominga	O
fabio	O
marcelo	O
dominga	O
marcelo	O
dominga	O
marcelo	O
dominga	O
fabio	O
porque	O
yo	O
llegué	O
después	O
mas	O
díjome	O
si	O
tenía	O
seis	O
macetas	O
de	O
claveles	O
que	O
transformar	O
en	O
vergeles	O
ciertos	O
balcones	O
quería	O
Yo	O
le	O
respondí	O
que	O
sí	O
y	O
se	O
los	O
pienso	O
llevar	O
si	O
no	O
me	O
falta	O
lugar	O
porque	O
no	O
los	O
tengo	O
aquí	O
Dónde	O
vive	O
Que	O
vivía	O
me	O
dijo	O
llegaos	O
acá	O
Al	O
oído	O
Bien	O
está	O
yo	O
la	O
sé	O
como	O
la	O
mía	O
No	O
me	O
espanto	O
que	O
os	O
agrade	O
yo	O
soy	O
mujer	O
y	O
la	O
hermosa	O
me	O
vuelve	O
loca	O
Es	O
la	O
cosa	O
que	O
más	O
rinde	O
y	O
persüade	O
Tomad	O
aqueste	O
doblón	O
y	O
a	O
la	O
casa	O
no	O
volváis	O
Pues	O
de	O
mí	O
qué	O
receláis	O
Basta	O
yo	O
tengo	O
ocasión	O
Este	O
es	O
falso	O
o	O
verdadero	O
que	O
dan	O
en	O
la	O
corte	O
agora	O
metal	O
que	O
se	O
sobredora	O
a	O
título	O
de	O
dinero	O
Malicias	O
de	O
Leganés	B-LOC
dominga	O
fabio	O
dominga	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
Parte	O
XI	O
Queréis	O
por	O
él	O
veinte	O
reales	O
Traelos	O
ahí	O
cabales	O
Sí	O
Pues	O
volveré	O
después	O
[Váyase	O
Dominga]	O
Fabio	O
la	O
mujer	O
es	O
bella	O
no	O
lo	O
dudes	O
no	O
me	O
acuerdo	O
de	O
Belisa	O
No	O
te	O
dije	O
que	O
hay	O
aquí	O
hierbas	O
del	O
cielo	O
Ramilletes	O
de	O
Madrid	B-LOC
si	O
tenéis	O
estos	O
remedios	O
para	O
qué	O
van	O
a	O
Tesalia	B-LOC
por	O
hierbas	O
los	O
hechiceros	O
ni	O
a	O
los	O
montes	O
de	O
la	O
Luna	O
Yo	O
apostaré	O
que	O
por	O
eso	O
a	O
la	O
puerta	O
de	O
la	O
cárcel	O
mandaron	O
en	O
cierto	O
tiempo	O
que	O
se	O
vendiesen	O
las	O
flores	O
Pues	O
es	O
delito	O
dar	O
seso	O
Pluguiera	O
a	O
Dios	O
que	O
prendieran	O
las	O
muchas	O
flores	O
que	O
vemos	O
andar	O
agora	O
en	O
la	O
corte	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
fabio	O
marcelo	O
Flores	O
de	O
qué	O
Yo	O
me	O
entiendo	O
no	O
quiero	O
hacerme	O
mal	O
quisto	O
Flores	O
en	O
la	O
corte	O
Necio	O
Pues	O
cuando	O
aquellos	O
señores	O
los	O
ramilletes	O
prendieron	O
un	O
jeroglífico	O
fue	O
de	O
las	O
flores	O
de	O
este	O
tiempo	O
Siempre	O
en	O
los	O
grandes	O
lugares	O
ha	O
de	O
haber	O
grandes	O
excesos	O
Gracias	O
al	O
gobierno	O
Fabio	O
que	O
son	O
los	O
malos	O
los	O
menos	O
Pero	O
advierte	O
que	O
he	O
pensado	O
que	O
en	O
esta	O
mujer	O
tenemos	O
contrahierba	O
de	O
Belisa	O
Es	O
bella	O
Escribirla	O
quiero	O
Tu	O
llevarás	O
el	O
papel	O
Cómo	O
Fingiéndote	O
luego	O
labrador	O
de	O
Leganés	B-LOC
que	O
eres	O
marido	O
diciendo	O
de	O
esta	O
bella	O
labradora	O
Y	O
dónde	O
hallaré	O
los	O
tiestos	O
de	O
los	O
claveles	O
que	O
pide	O
En	O
Madrid	B-LOC
con	O
el	O
dinero	O
Voy	O
Y	O
yo	O
voy	O
a	O
escribir	O
fabio	O
marcelo	O
fabio	O
marcelo	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
marcelo	O
Tente	O
Quién	O
viene	O
Sospecho	O
que	O
es	O
la	O
mudable	O
Belisa	O
Ay	O
Fabio	O
en	O
mirarla	O
tiemblo	O
Salen	O
Belisa	O
e	O
Inés	O
Ya	O
se	O
acabaron	O
las	O
flores	O
Tarde	O
llegas	O
Tarde	O
llego	O
Aunque	O
si	O
árboles	O
buscaras	O
dos	O
robles	O
en	O
frente	O
veo	O
Es	O
aquél	O
Marcelo	O
Él	O
mismo	O
A	O
dónde	O
bueno	O
Marcelo	O
Oh	O
mi	O
reina	O
entre	O
las	O
flores	O
Pero	O
por	O
Dios	O
que	O
soy	O
necio	O
que	O
quien	O
es	O
jardín	O
mudable	O
está	O
bien	O
en	O
este	O
puesto	O
porque	O
es	O
jardín	O
medio	O
día	O
y	O
el	O
otro	O
medio	O
le	O
vemos	O
campo	O
inútil	O
de	O
pizarras	O
y	O
ansí	O
vuestro	O
pensamiento	O
al	O
alba	O
es	O
jardín	O
de	O
flores	O
y	O
a	O
la	O
noche	O
es	O
campo	O
seco	O
Qué	O
mandáis	O
Que	O
os	O
esperéis	O
Sí	O
esperara	O
pero	O
temo	O
no	O
dar	O
celos	O
a	O
un	O
galán	O
ya	O
que	O
vos	O
no	O
me	O
dais	O
celos	O
Qué	O
galán	O
Vos	O
lo	O
sabéis	O
Parte	O
XI	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
fabio	O
belisa	O
fabio	O
belisa	O
fabio	O
belisa	O
fabio	O
y	O
pues	O
que	O
de	O
él	O
no	O
los	O
tengo	O
no	O
es	O
bien	O
que	O
de	O
mí	O
los	O
tenga	O
Dios	O
os	O
guarde	O
Oíd	O
No	O
quiero	O
Escuchad	O
por	O
cortesía	O
Tengo	O
quehacer	O
luego	O
vuelvo	O
[Váyase	O
Marcelo]	O
Oye	O
Fabio	O
Fabio	O
escucha	O
no	O
seas	O
como	O
tu	O
dueño	O
Qué	O
me	O
mandas	O
que	O
ando	O
aquí	O
tan	O
ocupado	O
que	O
llevo	O
de	O
mil	O
regalos	O
cargados	O
seis	O
o	O
siete	O
esportilleros	O
Válgame	O
Dios	O
Valga	O
y	O
lleve	O
no	O
reñiremos	O
por	O
eso	O
Qué	O
huéspedes	O
o	O
parientes	O
tenéis	O
en	O
casa	O
Tenemos	O
una	O
parienta	O
no	O
más	O
que	O
para	O
ti	O
no	O
hay	O
secreto	O
Parienta	O
Del	O
corazón	O
y	O
como	O
un	O
ángel	O
del	O
cielo	O
a	O
la	O
traza	O
del	O
romance	O
manos	O
blancas	O
y	O
ojos	O
negros	O
Parte	O
XI	O
belisa	O
fabio	O
la	O
ceja	O
con	O
la	O
pestaña	O
son	O
entre	O
raso	O
revuelto	O
molinillo	O
y	O
entorchado	O
y	O
por	O
niñas	O
dos	O
anzuelos	O
Airosa	O
como	O
en	O
Madrid	B-LOC
discreta	O
como	O
en	O
Toledo	B-LOC
como	O
en	O
Sevilla	B-LOC
amorosa	O
y	O
con	O
fe	O
como	O
en	O
Marruecos	B-LOC
Yo	O
he	O
comprado	O
seis	O
capones	O
diez	O
perdices	O
tres	O
conejos	O
un	O
pernil	O
de	O
Garrovillas	O
y	O
dos	O
piernas	O
de	O
carnero	O
de	O
las	O
demás	O
zarandajas	O
por	O
la	O
prisa	O
no	O
te	O
cuento	O
que	O
hasta	O
pasas	O
de	O
Corinto	B-LOC
para	O
la	O
ensalada	O
llevo	O
Que	O
mandas	O
que	O
a	O
buscar	O
voy	O
un	O
goloso	O
cocinero	O
para	O
cuatro	O
platos	O
dulces	O
Que	O
os	O
haga	O
muy	O
buen	O
provecho	O
Y	O
es	O
esta	O
noche	O
la	O
fiesta	O
Esta	O
y	O
otras	O
porque	O
creo	O
que	O
es	O
ginovesa	O
de	O
gusto	O
y	O
quieren	O
estar	O
de	O
asiento	O
Vase	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
Haslo	O
oído	O
Bien	O
lo	O
oí	O
Qué	O
dices	O
Que	O
mudó	O
presto	O
de	O
amor	O
aqueste	O
galán	O
Ay	O
Inés	O
el	O
seso	O
pierdo	O
Cómo	O
el	O
seso	O
Pues	O
por	O
qué	O
No	O
decías	O
que	O
Fineo	O
era	O
tu	O
gusto	O
Es	O
verdad	O
pero	O
como	O
suele	O
el	O
fuego	O
estar	O
cuando	O
no	O
le	O
buscan	O
de	O
la	O
ceniza	O
cubierto	O
ansí	O
lo	O
estaba	O
mi	O
amor	O
porque	O
fue	O
mi	O
amor	O
primero	O
Marcelo	O
que	O
agora	O
en	O
mí	O
han	O
descubierto	O
los	O
celos	O
Tratele	O
mal	O
culpa	O
tuve	O
buscó	O
Marcelo	O
remedio	O
hallole	O
porque	O
Madrid	B-LOC
es	O
selva	O
de	O
encantamentos	O
Matome	O
Fabio	O
de	O
envidia	O
tú	O
verás	O
cómo	O
me	O
muero	O
Qué	O
bien	O
la	O
pintó	O
el	O
bellaco	O
manos	O
blancas	O
y	O
ojos	O
negros	O
airosa	O
como	O
en	O
Madrid	B-LOC
discreta	O
como	O
en	O
Toledo	B-LOC
como	O
en	O
Sevilla	B-LOC
amorosa	O
y	O
con	O
fe	O
como	O
en	O
Marruecos	B-LOC
Esta	O
noche	O
disfrazada	O
iréasucalleysiveo	O
que	O
es	O
verdad	O
lo	O
que	O
este	O
dice	O
puertas	O
rejas	O
aposentos	O
cena	O
mujer	O
y	O
crïados	O
inés	O
belisa	O
han	O
de	O
rodar	O
por	O
el	O
suelo	O
Qué	O
dices	O
Que	O
soy	O
mujer	O
y	O
que	O
distancia	O
ponemos	O
desde	O
resolver	O
a	O
obrar	O
como	O
desde	O
el	O
rayo	O
al	O
trueno	O
[Váyanse	O
Inés	O
y	O
Belisa]	O
Salen	O
Rosela	O
y	O
Clara	O
en	O
su	O
casa	O
Qué	O
gentil	O
talle	O
tenía	O
A	O
lo	O
menos	O
qué	O
cortés	O
Clara	O
amores	O
me	O
decía	O
Intenté	O
saber	O
después	O
quién	O
era	O
y	O
dónde	O
vivía	O
pero	O
nunca	O
me	O
atreví	O
Agrádanme	O
Clara	O
a	O
mí	O
los	O
hombres	O
de	O
aquella	O
traza	O
Que	O
se	O
vendan	O
en	O
la	O
plaza	O
hombres	O
también	O
Cómo	O
así	O
Pues	O
no	O
le	O
hallamos	O
en	O
ella	O
Sí	O
pero	O
no	O
le	O
llevamos	O
porque	O
eso	O
fuera	O
ir	O
a	O
ella	O
por	O
flores	O
hierbas	O
y	O
ramos	O
y	O
con	O
fruto	O
volver	O
de	O
ella	O
Sale	O
Lidio	O
criado	O
Aquí	O
trae	O
un	O
labrador	O
unos	O
tiestos	O
de	O
claveles	O
Labrador	O
Y	O
hombre	O
de	O
humor	O
Sale	O
Fabio	O
de	O
labrador	O
Parte	O
XI	O
clara	O
rosela	O
clara	O
rosela	O
clara	O
rosela	O
clara	O
rosela	O
lidio	O
rosela	O
lidio	O
rosela	O
fabio	O
rosela	O
fabio	O
Entre	O
Qué	O
villano	O
Apeles	O
pudo	O
retratar	O
mejor	O
Cuál	O
de	O
sus	O
mercedes	O
es	O
de	O
esta	O
casa	O
la	O
señora	O
Yo	O
soy	O
Yo	O
beso	O
sus	O
pies	O
Soy	O
de	O
aquella	O
labradora	O
del	O
lugar	O
de	O
Leganés	B
su	O
marido	O
con	O
perdón	O
que	O
porque	O
andaba	O
ocupada	O
en	O
esta	O
buena	O
ocasión	O
en	O
hacer	O
cierta	O
colada	O
me	O
dio	O
a	O
mí	O
la	O
comezón	O
de	O
traeros	O
unos	O
tiestos	O
de	O
claveles	O
tan	O
compuestos	O
que	O
a	O
haber	O
azucenas	O
rojas	O
dijérades	O
en	O
las	O
hojas	O
que	O
eran	O
azucenas	O
estos	O
No	O
ha	O
producido	O
tan	O
bellos	O
claveles	O
venid	O
a	O
vellos	O
el	O
instrumento	O
de	O
Dios	O
pues	O
a	O
no	O
haber	O
boca	O
en	O
vos	O
no	O
hubiera	O
color	O
como	O
ellos	O
Si	O
os	O
diera	O
un	O
hijo	O
no	O
hiciera	O
más	O
que	O
en	O
daros	O
su	O
hermosura	O
el	O
olor	O
siento	O
acá	O
fuera	O
Qué	O
inocencia	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
En	O
sangre	O
pura	O
los	O
bañó	O
la	O
primavera	O
Eso	O
pudo	O
ser	O
Bien	O
pudo	O
que	O
un	O
día	O
que	O
hizo	O
menudo	O
a	O
las	O
hojas	O
se	O
limpió	O
de	O
quien	O
el	O
clavel	O
salió	O
teñido	O
en	O
sangre	O
No	O
es	O
mudo	O
Esto	O
dicen	O
los	O
poetas	O
que	O
son	O
bravos	O
tintoreros	O
de	O
hacer	O
rosas	O
y	O
mosquetas	O
Qué	O
os	O
he	O
de	O
dar	O
No	O
hay	O
dineros	O
para	O
flores	O
tan	O
perfetas	O
y	O
Dominga	O
no	O
me	O
habló	O
en	O
que	O
los	O
cobrase	O
yo	O
porque	O
dice	O
que	O
los	O
juego	O
o	O
topo	O
algún	O
diabro	O
luego	O
de	O
estos	O
que	O
no	O
dicen	O
no	O
Ella	O
vendrá	O
por	O
acá	O
su	O
merced	O
se	O
los	O
dará	O
Tenéis	O
hijos	O
Diez	O
o	O
doce	O
Tantos	O
Y	O
aun	O
así	O
me	O
goce	O
que	O
en	O
cinta	O
Jimena	O
está	O
que	O
como	O
tan	O
mal	O
cenamos	O
que	O
es	O
causa	O
de	O
no	O
dormir	O
bien	O
desvelados	O
estamos	O
Mas	O
yo	O
tengo	O
que	O
os	O
pedir	O
si	O
hacia	O
aquí	O
nos	O
retiramos	O
Cómo	O
De	O
un	O
galán	O
novel	O
Parte	O
XI	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
fabio	O
rosela	O
otavio	O
clara	O
fabio	O
rosela	O
otavio	O
rosela	O
traigo	O
aquí	O
cierto	O
papel	O
para	O
dar	O
a	O
su	O
quillotra	O
que	O
escarmentado	O
de	O
otra	O
quiere	O
ver	O
lo	O
que	O
hay	O
en	O
él	O
Que	O
sois	O
alcahuete	O
No	O
Pues	O
qué	O
Estafeta	O
amorosa	O
cobro	O
el	O
porte	O
y	O
pico	O
Halló	O
en	O
vos	O
persona	O
oficiosa	O
Soy	O
un	O
mentecato	O
yo	O
Lee	O
la	O
carta	O
«Por	O
más	O
acertado	O
he	O
tenido	O
el	O
deciros	O
con	O
atrevimiento	O
que	O
me	O
habéis	O
muerto	O
que	O
el	O
dejarme	O
morir	O
de	O
cobardía»	O
Hasta	O
ahí	O
no	O
dice	O
mal	O
Pero	O
sabéis	O
si	O
la	O
tal	O
es	O
doncella	O
o	O
es	O
casada	O
[Sale]	O
Otavio	O
viejo	O
Leeré	O
más	O
Cosa	O
cansada	O
atrevida	O
y	O
desigual	O
Tu	O
padre	O
Guarda	O
el	O
papel	O
Con	O
quién	O
vienes	O
enojado	O
Contigo	O
Cosa	O
crüel	O
otavio	O
Pues	O
yo	O
qué	O
ocasión	O
te	O
he	O
dado	O
Yo	O
haré	O
en	O
mi	O
casa	O
un	O
vergel	O
con	O
que	O
las	O
mañanas	O
tengas	O
más	O
quietas	O
y	O
recogidas	O
y	O
a	O
mediodía	O
no	O
vengas	O
con	O
flores	O
tan	O
mal	O
nacidas	O
que	O
en	O
buscallas	O
te	O
entretengas	O
Entro	O
y	O
hallo	O
ramilletes	O
y	O
claveles	O
que	O
has	O
comprado	O
No	O
es	O
mejor	O
que	O
te	O
sujetes	O
al	O
almohadilla	O
al	O
estrado	O
Serán	O
por	O
dicha	O
alcahuetes	O
los	O
ramilletes	O
señor	O
de	O
la	O
plaza	O
de	O
Madrid	B
para	O
quitarte	O
el	O
honor	O
Buen	O
hombre	O
Señor	O
Oíd	O
Temblando	O
estoy	O
de	O
temor	O
Sabréis	O
un	O
jardín	O
hacerme	O
en	O
un	O
poco	O
de	O
corral	O
que	O
tengo	O
Holgara	O
de	O
verme	O
libre	O
en	O
ocasión	O
igual	O
y	O
a	O
serviros	O
detenerme	O
Soy	O
de	O
aquí	O
de	O
Leganés	B-LOC
y	O
espero	O
el	O
agosto	O
agora	O
pero	O
mi	O
vecino	O
Andrés	O
que	O
junto	O
a	O
mi	O
casa	O
mora	O
bravo	O
jardinero	O
es	O
mañana	O
le	O
traigo	O
aquí	O
Parte	O
XI	O
rosela	O
otavio	O
fabio	O
otavio	O
fabio	O
otavio	O
fabio	O
otavio	O
rosela	O
fabio	O
rosela	O
fabio	O
rosela	O
fabio	O
Id	O
con	O
Dios	O
y	O
hacedlo	O
ansi	O
Hola	O
Señora	O
El	O
papel	O
tomad	O
Quedaos	O
vos	O
con	O
él	O
Pues	O
era	O
para	O
mí	O
Sí	O
de	O
Marcelo	O
el	O
caballero	O
que	O
hoy	O
en	O
la	O
plaza	O
os	O
habló	O
soy	O
lacayo	O
o	O
escudero	O
y	O
él	O
para	O
vos	O
me	O
le	O
dio	O
Vase	O
Qué	O
te	O
dice	O
el	O
jardinero	O
Como	O
te	O
ve	O
con	O
disgusto	O
llevar	O
quiere	O
los	O
claveles	O
Eso	O
no	O
que	O
de	O
ellos	O
gusto	O
Vase	O
Tú	O
por	O
reñir	O
como	O
sueles	O
no	O
miras	O
justo	O
ni	O
injusto	O
Que	O
tenemos	O
Que	O
el	O
papel	O
es	O
del	O
galán	O
que	O
con	O
él	O
hablamos	O
hoy	O
Y	O
el	O
villano	O
Su	O
lacayo	O
No	O
era	O
en	O
vano	O
más	O
moscón	O
que	O
moscatel	O
Hate	O
pesado	O
otavio	O
rosela	O
otavio	O
rosela	O
clara	O
rosela	O
clara	O
rosela	O
clara	O
rosela	O
En	O
mi	O
vida	O
pensé	O
ser	O
agradecida	O
y	O
agora	O
lo	O
pienso	O
ser	O
porque	O
a	O
ninguna	O
mujer	O
le	O
pesa	O
de	O
ser	O
querida	O
[Váyanse	O
Clara	O
y	O
Rosela]	O
Salen	O
Belisa	O
e	O
Inés	O
con	O
capotillos	O
y	O
sombreros	O
Mira	O
que	O
vienes	O
a	O
hacer	O
el	O
mayor	O
atrevimiento	O
que	O
puedes	O
contra	O
tu	O
honor	O
Amor	O
no	O
quiere	O
consejo	O
demás	O
que	O
yo	O
quiero	O
Inés	O
sin	O
dar	O
a	O
entender	O
que	O
vengo	O
asucalleniasucasa	O
saber	O
lo	O
que	O
pasa	O
dentro	O
Pues	O
no	O
te	O
ha	O
de	O
dar	O
más	O
pena	O
No	O
sabes	O
que	O
los	O
discretos	O
nunca	O
escuchan	O
Muy	O
bien	O
dices	O
pero	O
es	O
el	O
amor	O
muy	O
necio	O
aunque	O
si	O
verdad	O
te	O
digo	O
como	O
ya	O
por	O
mí	O
lo	O
siento	O
poco	O
entendimiento	O
tiene	O
quien	O
no	O
quiere	O
bien	O
con	O
celos	O
Son	O
celos	O
despertador	O
del	O
amor	O
rendido	O
al	O
sueño	O
que	O
inquietan	O
alma	O
y	O
sentidos	O
al	O
continuo	O
movimiento	O
Dice	O
la	O
memoria	O
a	O
amor	O
Parte	O
XI	O
inés	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
inés	O
belisa	O
fabio	O
inés	O
fabio	O
«hasta	O
tal	O
hora	O
me	O
duermo»	O
y	O
el	O
cuidado	O
a	O
la	O
misma	O
los	O
celos	O
le	O
pone	O
luego	O
Llega	O
el	O
punto	O
da	O
la	O
rueda	O
y	O
quedan	O
juntos	O
despiertos	O
alma	O
potencias	O
sentidos	O
levantándose	O
al	O
remedio	O
porque	O
en	O
viendo	O
que	O
otro	O
alcanza	O
el	O
lugar	O
que	O
yo	O
merezco	O
poco	O
entendimiento	O
tiene	O
quien	O
no	O
quiere	O
bien	O
con	O
celos	O
Esta	O
es	O
la	O
casa	O
ay	O
de	O
mí	O
de	O
mi	O
Marcelo	O
o	O
Martelo	O
y	O
aun	O
de	O
mi	O
martirio	O
o	O
mar	O
donde	O
me	O
abraso	O
y	O
me	O
anego	O
Llama	O
llama	O
Estás	O
en	O
ti	O
La	O
noche	O
su	O
manto	O
negro	O
desguarnecido	O
de	O
estrellas	O
tiende	O
en	O
los	O
hombres	O
del	O
cielo	O
ella	O
nos	O
cubre	O
no	O
importa	O
Ya	O
he	O
llamado	O
y	O
tan	O
suspenso	O
está	O
el	O
aire	O
que	O
responde	O
en	O
lo	O
más	O
lejos	O
el	O
eco	O
Saca	O
la	O
cabeza	O
Fabio	O
Suspenso	O
Quién	O
está	O
ahí	O
Fabio	O
yo	O
soy	O
Quién	O
diremos	O
inés	O
fabio	O
inés	O
fabio	O
inés	O
fabio	O
belisa	O
fabio	O
inés	O
belisa	O
fabio	O
belisa	O
inés	O
belisa	O
Parte	O
XI	O
Inés	O
Qué	O
Inés	O
La	O
de	O
antaño	O
A	O
tales	O
horas	O
Qué	O
es	O
esto	O
Di	O
a	O
Marcelo	O
que	O
está	O
aquí	O
Belisa	O
Guarte	O
acá	O
negro	O
Vive	O
Dios	O
que	O
me	O
matase	O
Dile	O
que	O
se	O
vaya	O
luego	O
que	O
si	O
lo	O
sabe	O
Cardenia	O
tarde	O
o	O
nunca	O
cenaremos	O
Qué	O
es	O
esto	O
pícaro	O
infame	O
Sabes	O
que	O
soy	O
yo	O
quien	O
llego	O
a	O
tu	O
puerta	O
Qué	O
Cardenia	O
es	O
esta	O
Abre	O
aquí	O
abre	O
presto	O
Cómo	O
abrir	O
Cierro	O
y	O
me	O
voy	O
que	O
están	O
cenando	O
y	O
yo	O
tengo	O
a	O
mi	O
cargo	O
la	O
bebida	O
Fuese	O
Y	O
yo	O
me	O
estoy	O
muriendo	O
Dentro	O
Fabio	O
Dice	O
Cardenia	O
que	O
está	O
la	O
bebida	O
como	O
un	O
fuego	O
Da	O
prisa	O
a	O
la	O
cantimplora	O
Daca	O
esas	O
tortadas	O
Pedro	O
Ea	O
apercibe	O
los	O
postres	O
Los	O
postres	O
pues	O
sean	O
mis	O
celos	O
Coces	O
das	O
la	O
puerta	O
Y	O
he	O
de	O
romper	O
Sale	O
Marcelo	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
belisa	O
Paso	O
Qué	O
es	O
esto	O
Esto	O
es	O
honra	O
Quién	O
es	O
Yo	O
Pues	O
de	O
cuándo	O
acá	O
tenemos	O
estos	O
bríos	O
Desde	O
agora	O
Vete	O
con	O
Dios	O
que	O
es	O
mal	O
hecho	O
que	O
tú	O
pierdas	O
de	O
quien	O
eres	O
y	O
yo	O
pierda	O
por	O
tus	O
celos	O
el	O
crédito	O
que	O
tenía	O
con	O
los	O
padres	O
y	O
los	O
deudos	O
de	O
esta	O
dama	O
que	O
está	O
aquí	O
que	O
han	O
venido	O
a	O
los	O
conciertos	O
del	O
casamiento	O
que	O
trato	O
Que	O
tú	O
tratas	O
casamiento	O
Como	O
tú	O
con	O
quien	O
te	O
sirve	O
Pues	O
ten	O
Marcelo	O
por	O
cierto	O
que	O
antes	O
que	O
llegue	O
a	O
mi	O
casa	O
me	O
he	O
de	O
matar	O
porque	O
creo	O
que	O
mi	O
llanto	O
y	O
tus	O
agravios	O
servirán	O
de	O
lazo	O
estrecho	O
al	O
cuello	O
que	O
de	O
tus	O
brazos	O
pensó	O
hacerle	O
en	O
algún	O
tiempo	O
No	O
llores	O
Belisa	O
mía	O
que	O
todo	O
fue	O
fingimiento	O
de	O
Fabio	O
para	O
afligirte	O
Entra	O
y	O
verás	O
en	O
silencio	O
toda	O
la	O
casa	O
que	O
ni	O
hay	O
Cardenia	O
ni	O
en	O
mí	O
deseo	O
alma	O
y	O
ojos	O
más	O
que	O
a	O
ti	O
Que	O
no	O
hay	O
nadie	O
marcelo	O
belisa	O
marcelo	O
belisa	O
marcelo	O
Entra	O
tú	O
a	O
verlo	O
No	O
que	O
me	O
voy	O
Oye	O
espera	O
No	O
hay	O
que	O
esperar	O
porque	O
quiero	O
con	O
celos	O
y	O
en	O
viendo	O
amor	O
de	O
las	O
ofensas	O
me	O
acuerdo	O
Mal	O
hice	O
